logId,userId,clickTime,categoryId,eventType
1,1,2023-07-03 14:31:19,9,click
2,1,2023-03-14 04:40:48,33,click
3,1,2023-12-03 16:28:31,27,click
4,1,2023-10-20 11:17:12,12,click
5,1,2023-01-20 12:24:31,29,click
6,2,2023-05-12 21:52:54,19,click
7,2,2023-05-22 03:39:31,33,click
8,2,2023-12-09 08:59:04,16,click
9,2,2023-03-29 00:27:09,20,click
10,2,2023-01-20 03:56:21,32,click
11,3,2023-06-18 01:40:17,23,click
12,3,2023-11-18 13:35:54,21,click
13,3,2023-05-17 10:36:11,18,click
14,3,2023-07-17 02:58:00,6,click
15,3,2023-07-03 01:01:22,17,click
16,4,2023-01-12 10:51:29,33,click
17,4,2023-12-09 16:56:02,16,click
18,4,2023-03-26 06:39:22,28,click
19,4,2023-08-16 05:09:16,29,click
20,4,2023-08-03 09:12:00,22,click
21,5,2023-09-24 09:25:00,13,click
22,5,2023-01-03 10:56:50,28,click
23,5,2023-08-05 07:31:25,2,click
24,5,2023-12-12 08:57:05,32,click
25,5,2023-01-05 07:40:02,11,click
26,6,2023-10-11 04:40:09,33,click
27,6,2023-02-07 13:21:38,18,click
28,6,2023-02-20 15:02:38,2,click
29,6,2023-06-03 23:52:11,28,click
30,6,2023-04-14 01:54:25,11,click
31,7,2023-01-26 17:37:34,8,click
32,7,2023-08-26 20:38:36,9,click
33,7,2023-07-15 12:40:16,18,click
34,7,2023-11-22 13:05:35,26,click
35,7,2023-05-21 17:49:42,29,click
36,8,2023-04-03 06:00:42,3,click
37,8,2023-11-20 18:12:06,31,click
38,8,2023-05-31 22:45:50,7,click
39,8,2023-07-31 19:01:21,27,click
40,8,2023-01-01 07:56:43,9,click
41,9,2023-09-10 11:16:03,25,click
42,9,2023-07-15 13:41:16,9,click
43,9,2023-07-12 00:19:35,16,click
44,9,2023-06-08 02:46:24,33,click
45,9,2023-07-03 20:27:58,20,click
46,10,2023-10-22 14:59:18,27,click
47,10,2023-12-23 05:16:28,32,click
48,10,2023-08-07 16:42:00,13,click
49,10,2023-01-08 02:36:22,15,click
50,10,2023-09-29 01:48:22,5,click
51,11,2023-06-02 05:56:12,29,click
52,11,2023-11-16 13:21:12,3,click
53,11,2023-11-19 05:37:38,24,click
